tree_name,common_name,scientific_name,ncbi_taxid,domain,story,submitted_by
Yaanga - Los Angeles Urban Sp,Human,Homo sapiens,9606,Human,,maya
Yaanga - Los Angeles Urban Sp,Coyote,Canis latrans,,Animal,,maya
Yaanga - Los Angeles Urban Sp,Western fence lizard,Sceloporus occidentalis,,Animal,,maya
Yaanga - Los Angeles Urban Sp,Red-tailed hawk,Buteo jamaicensis,,Animal,,maya
Yaanga - Los Angeles Urban Sp,Western gray squirrel,Sciurus griseus,,Animal,,maya
Yaanga - Los Angeles Urban Sp,California ground squirrel,Otospermophilus beecheyi,,Animal,,maya
Yaanga - Los Angeles Urban Sp,Mallard,Anas platyrhynchos,,Animal,,maya
Yaanga - Los Angeles Urban Sp,Monarch butterfly,Danaus plexippus,,Insect,,maya
Yaanga - Los Angeles Urban Sp,Coast live oak,Quercus agrifolia,,Plant,,maya
Yaanga - Los Angeles Urban Sp,Western honey bee,Apis mellifera,,Insect,,maya
